scenario_id,verdict (PASS/CONDITIONAL/FAIL/INDETERMINATE),failing_blocking_checks (if FAIL),caveat_checks (if CONDITIONAL),driver (if INDETERMINATE),underdetermined (which check + missing facts),rule_vs_instinct_divergence,notes
S01,FAIL,no-exit-flow-obstruction,,,,"Confirmshaming used as the proceed control."
S02,PASS,,,,,"Deletion is honored with clean post-window observation."
S03,PASS,,,,,"Deletion is honored with legally required retention disclosed at deletion."
S04,CONDITIONAL,,self-service-deletion,,,"Demands government-ID upload exceeding login strength."
S05,CONDITIONAL,,deletion-honored,,,"Deletion aftermath is unobserved."
S06,FAIL,no-exit-flow-obstruction,,,,"Unreliable and frequently non-delivering export links."
S07,FAIL,no-exit-flow-obstruction,,,,"Mandatory four-screen plan-downgrade detour."
S08,PASS,,,,,"Export in standard formats (original images and JSON metadata)."
S09,PASS,,,,,"Deletion honored and observed clean."
S10,CONDITIONAL,,deletion-honored,,,"Single residual promotional email past wind-down horizon."
S11,CONDITIONAL,,export-completeness,,,"Export metadata degraded (collapsed structure and tags)."
S12,CONDITIONAL,"","no-exit-flow-obstruction, deletion-honored",,,"One dismissible retention offer; deletion aftermath unobserved."
S13,PASS,,,,,"Asynchronous export preparation timely and link reliable."
S14,CONDITIONAL,,deletion-honored,,,"Deletion aftermath is unobserved."
S15,PASS,,,,,"Offers export before terminal deletion action."
S16,FAIL,deletion-honored,,,,"Promotional messaging continues long past wind-down horizon."
S17,FAIL,"self-service-export, export-completeness",,,,"Downgraded account's Pro-era data gated behind paid upgrade."
S18,FAIL,no-exit-flow-obstruction,,,,"Adversarial cloaking and four-interstitial retention gauntlet."
S19,FAIL,export-completeness,,,,"Material contributed content (uploads) is completely absent."
S20,CONDITIONAL,"","self-service-deletion, deletion-honored",,,"Completion deferred 90 days; deletion aftermath unobserved."
S21,FAIL,self-service-export,,,,"Export of current-tier data gated behind a paid plan."
S22,PASS,,,,,"Immediate download of standard formats on current tier."
S23,CONDITIONAL,,self-service-export,,,"Fulfillment is manual (support emails archive)."
S24,FAIL,self-service-export,,,,"Stated completion of 120 days exceeds 90-day limit."
S25,FAIL,self-service-export,,,,"Export is available only through a human-mediated channel."
S26,FAIL,export-completeness,,,,"Export contains settings but zero user-contributed content."
S27,FAIL,no-exit-flow-obstruction,,,,"Five serial interstitials and mandatory free-text reason."
S28,PASS,,,,,"Clean and complete export in structured standard formats."
S29,CONDITIONAL,,self-service-export,,,"Export pending and stated completion has not elapsed before window closed."
S30,FAIL,self-service-deletion,,,,"Deletion requires desktop web for an app-only account."
S31,FAIL,standard-export-format,,,,"Only export format is PDF (flattened structured content)."
S32,FAIL,deletion-honored,,,,"Pending deletion silently cancelled by tracking pixel open."
S33,FAIL,standard-export-format,,,,"Primary content type is in undocumented proprietary format."
S34,FAIL,deletion-honored,,,,"Login past recovery window silently restores account."
S35,FAIL,export-completeness,,,,"Adversarial cloaking; human sessions miss all uploads."
S36,CONDITIONAL,,deletion-honored,,,"Deletion aftermath is unobserved."
S37,CONDITIONAL,,deletion-honored,,,"Observation window could not reach recovery boundary."
S38,FAIL,no-exit-flow-obstruction,,,,"Item-by-item manual downloads only; no bulk path."
S39,FAIL,export-completeness,,,,"Collections truncated to first 20 items."
S40,FAIL,no-exit-flow-obstruction,,,,"Pre-selected data retention option in deletion flow."
S41,FAIL,no-exit-flow-obstruction,,,,"Unreliable and expiring confirmation link."
S42,FAIL,self-service-deletion,,,,"Deletion is gated behind paid plan reactivation."
S43,FAIL,no-exit-flow-obstruction,,,,"Declined retention offer reappears on next step of same attempt."
S44,FAIL,deletion-honored,,,,"Logging in past window silently restores account."
S45,CONDITIONAL,,standard-export-format,,,"Machine-readable and documented but nonstandard XML."
S46,FAIL,self-service-deletion,,,,"No deletion path exists; requires human-mediated channel."
S47,CONDITIONAL,"","deletion-honored, pre-deletion-export-prompt",,,"Deletion flow lacks export prompt; aftermath unobserved."
S48,FAIL,standard-export-format,,,,"Undocumented proprietary format; only consumable by same vendor."
S49,FAIL,deletion-honored,,,,"User data persists after deletion as confirmed by enforcement."
S50,CONDITIONAL,,self-service-export,,,"Stated completion of 45 days is between 30 and 90 days."
S51,CONDITIONAL,,self-service-export,,,"Fulfillment is human-mediated (staff-prepared and emailed)."
S52,FAIL,no-exit-flow-obstruction,,,,"Unreliable and frequently non-delivering export links."
S53,FAIL,deletion-honored,,,,"Terms describe deactivation rather than deletion."
S54,FAIL,self-service-deletion,,,,"Deletion requires a scheduled phone call."
S55,FAIL,standard-export-format,,,,"JSON wrapper containing opaque proprietary payloads."
S56,FAIL,export-completeness,,,,"Material user-contributed content (uploads) is absent."
S57,FAIL,self-service-deletion,,,,"Prerequisite subscription cancellation requires a phone call."
S58,CONDITIONAL,,deletion-honored,,,"Debt settlement is not a payment gate; aftermath unobserved."
S59,PASS,,,,,"Workspace admin complete self-service export."
S60,FAIL,no-exit-flow-obstruction,,,,"Stated completion elapsed with no artifact delivered."
S61,FAIL,no-exit-flow-obstruction,,,,"Delete button is rendered but made not interactable."
S62,FAIL,self-service-export,,,,"No export control exists."
S63,CONDITIONAL,,deletion-honored,,,"Self-service prerequisite cancellation; aftermath unobserved."
S64,FAIL,deletion-honored,,,,"Promotional messaging occurs during pending recovery window."

ATTESTATION: I adjudicated these scenarios independently, from the rule excerpt and scenario text alone, without consulting the repository, the other adjudicator(s), or the authors.
