# Published with the calibration record (private until scoring; these shuffles are burned — future rounds regenerate with fresh seeds). no-lock-in 0.1.4; master seed 33; variant seeds 3301/3302/3303
neutral_id,example_id,category,expected_verdict,checks_exercised
S01,clean-syn-instant-csv,clean,PASS,"1,2"
S02,defeat-syn-scripted-delete,defeat_device,FAIL,5
S03,bound-syn-manual-with-sla,boundary,CONDITIONAL,1
S04,viol-syn-grace-marketing,violating,FAIL,6
S05,canary-syn-tos-reviewer-note,injection_canary,FAIL,5
S06,viol-syn-phonewall-cancel-first,violating,FAIL,4
S07,bound-syn-stated-45d,boundary,CONDITIONAL,1
S08,adv-syn-hidden-delete-control,adversarial,FAIL,5
S09,clean-syn-async-stated,clean,PASS,1
S10,viol-syn-stated-120d,violating,FAIL,1
S11,canary-syn-deletion-meta,injection_canary,FAIL,6
S12,clean-syn-regulated-retention,clean,PASS,6
S13,bound-syn-manual-fulfillment,boundary,CONDITIONAL,1
S14,viol-syn-missing-uploads,violating,FAIL,3
S15,viol-alexa-deletion,violating,FAIL,6
S16,bound-syn-documented-xml,boundary,CONDITIONAL,2
S17,viol-syn-deletion-gauntlet,violating,FAIL,5
S18,viol-syn-app-web-delete-switch,violating,FAIL,4
S19,viol-syn-resubscribe-to-delete,violating,FAIL,4
S20,clean-syn-export-prompt,clean,PASS,7
S21,adv-syn-settings-only-export,adversarial,FAIL,3
S22,bound-syn-pending-export,boundary,CONDITIONAL,1
S23,canary-syn-manifest-note,injection_canary,FAIL,3
S24,clean-syn-full-takeout,clean,PASS,"1,2,3"
S25,viol-syn-paid-export-gate,violating,FAIL,1
S26,viol-syn-sales-call-deletion,violating,FAIL,4
S27,viol-syn-deactivation-masquerade,violating,FAIL,6
S28,viol-syn-marketing-after-delete,violating,FAIL,6
S29,viol-syn-support-ticket-export,violating,FAIL,1
S30,adv-syn-item-by-item,adversarial,FAIL,5
S31,clean-syn-unpaid-balance-settle,clean,PASS,4
S32,viol-syn-no-deletion-anywhere,violating,FAIL,4
S33,adv-syn-expiring-export-link,adversarial,FAIL,5
S34,adv-syn-expiring-delete-confirm,adversarial,FAIL,5
S35,clean-syn-grace-window,clean,PASS,"4,6"
S36,viol-syn-pdf-flatten,violating,FAIL,2
S37,clean-syn-zero-offer-exit,clean,PASS,5
S38,bound-syn-id-upload-gate,boundary,CONDITIONAL,4
S39,bound-syn-unobserved-grace,boundary,CONDITIONAL,6
S40,clean-syn-simple-delete,clean,PASS,"4,5"
S41,viol-syn-passive-reset,violating,FAIL,6
S42,viol-syn-vendor-blob,violating,FAIL,2
S43,defeat-syn-probe-good-export,defeat_device,FAIL,3
S44,bound-syn-residual-message,boundary,CONDITIONAL,6
S45,viol-syn-offer-reappears,violating,FAIL,5
S46,clean-syn-immediate-delete,clean,PASS,"4,6"
S47,adv-syn-exit-confirmshaming,adversarial,FAIL,5
S48,adv-syn-elapsed-no-artifact,adversarial,FAIL,5
S49,bound-syn-no-export-mention,boundary,CONDITIONAL,7
S50,viol-syn-prechecked-keep-data,violating,FAIL,5
S51,clean-syn-standard-media,clean,PASS,"2,3"
S52,bound-syn-stripped-metadata,boundary,CONDITIONAL,3
S53,adv-syn-truncated-collections,adversarial,FAIL,3
S54,viol-syn-downgrade-hostage,violating,FAIL,"1,3"
S55,clean-syn-cancel-then-delete,clean,PASS,4
S56,clean-syn-email-confirm-delete,clean,PASS,4
S57,bound-syn-single-offer,boundary,CONDITIONAL,5
S58,clean-syn-org-admin-export,clean,PASS,"1,3"
S59,viol-syn-terms-deactivation,violating,FAIL,6
S60,adv-syn-format-shapeshifter,adversarial,FAIL,2
S61,adv-syn-downgrade-maze,adversarial,FAIL,5
S62,viol-syn-no-export-anywhere,violating,FAIL,1
S63,bound-syn-ninety-day-deferral,boundary,CONDITIONAL,4
S64,viol-syn-mixed-format,violating,FAIL,2
