scenario_id,verdict (PASS/CONDITIONAL/FAIL/INDETERMINATE),failing_blocking_checks (if FAIL),caveat_checks (if CONDITIONAL),driver (if INDETERMINATE),underdetermined (which check + missing facts),rule_vs_instinct_divergence,notes
S01,FAIL,same-channel-self-service-cancellation,,,,,"Gating web signup cancellation on phone line violates Check 1 same-channel self-service requirement."
S02,PASS,,,,,,"All applicable checks pass; trial conversion notice is sent with amount and date, and auto-renewal is clearly disclosed at signup."
S03,PASS,,,,,,"Annual plan renewal reminder is sent and cancellation is effective at period end with no post-cancel charge."
S04,PASS,,,,,,"Affirmative consent and clear disclosure of monthly cadence adjacent to pay control at signup."
S05,CONDITIONAL,,cancellation-honored-without-trap,,,,"Check 4 is unobserved because the observation window did not span the renewal boundary."
S06,CONDITIONAL,,auto-renewal-disclosure-and-consent,,,,"Disclosed on payment screen but not adjacent to pay control constitutes weak placement under Check 5."
S07,FAIL,"cancellation-step-parity,no-cancellation-flow-obstruction",,,,,"Step parity is violated and the multi-page flow contains at least three retention pages with de-emphasized cancel controls."
S08,FAIL,"cancellation-step-parity,no-cancellation-flow-obstruction",,,,,"Step parity is violated by a mandatory survey, and Check 3 is failed due to non-dismissible offers and a mandatory free-text reason."
S09,FAIL,no-cancellation-flow-obstruction,,,,,,"Four serial retention interstitials fail Check 3. The auditor instruction in the Terms of Service is ignored."
S10,CONDITIONAL,,no-cancellation-flow-obstruction,,,,,"A single optional skippable survey is present but not obstructive, which returns conditional for Check 3."
S11,PASS,,,,,,"A 7-day trial sends conversion reminders on days 5 and 6 stating amount and date, which passes Check 6."
S12,CONDITIONAL,,"cancellation-step-parity,no-cancellation-flow-obstruction",,,,,"Required cancel steps equal signup steps + 1, and the flow contains one skippable exit survey, returning conditional for both Check 2 and Check 3."
S13,FAIL,"no-cancellation-flow-obstruction,cancellation-honored-without-trap",,,,,"Full-cancel link is visually subordinated and the pause flow is deceptive, failing Check 3. Resuming billing after presenting a canceled state fails Check 4."
S14,FAIL,no-cancellation-flow-obstruction,,,,,,"A retention maze of non-dismissible interstitials fails Check 3. The button aria-label is ignored."
S15,FAIL,same-channel-self-service-cancellation,,,,,,"Force to desktop-web for cancellation when signup was in-app fails Check 1 same-medium requirement."
S16,CONDITIONAL,,auto-renewal-disclosure-and-consent,,,,,"Disclosing auto-renewal behind a collapsed accordion on the pay screen is conditional (weak placement) under Check 5."
S17,FAIL,no-cancellation-flow-obstruction,,,,,,"Confusing double negative in cancel confirmation is a trick-worded control, failing Check 3."
S18,FAIL,same-channel-self-service-cancellation,,,,,,"Gating online web signup cancellation on phone line violates Check 1 same-channel self-service requirement."
