scenario_id,verdict (PASS/CONDITIONAL/FAIL/INDETERMINATE),failing_blocking_checks (if FAIL),caveat_checks (if CONDITIONAL),driver (if INDETERMINATE),underdetermined (which check + missing facts),rule_vs_instinct_divergence,notes
S01,CONDITIONAL,,"7: $2.99 carbon-offset disclosed on the committing surface but not separately choosable (stated extra bundled into a single 'Continue' — the conditional arm verbatim)",,,,"CONVENTION USED THROUGHOUT THIS SHEET: checks whose surface the scenario states nothing about are resolved na (surface absent from the stated fact set) and excluded per §5; unobserved is reserved for explicitly stated observation gaps (e.g. S14). Without this convention nearly every scenario would be CONDITIONAL via partial scope — flagging as a rules-clarity gap."
S02,FAIL,"2: identical 'recent purchases' sequence served to every fresh visitor on the same schedule = generated events (fabricated social proof)",,,,,"Mode-join applied: the clean shipped client does not exonerate the observed live fabrication (server-injected is still what shipped) — evidence union, never exoneration."
S03,CONDITIONAL,,"1: real, expiring timer whose equivalent offer relaunches every morning = serial flash sales making permanent pricing look time-limited; an overnight gap does not break seriality (0.1.3 P-2 wording)",,,,
S04,PASS,,,,,,"Checks 4/6/7 pass: plain polarity, unchecked default, pay control states its effect, order-review step present."
S05,FAIL,"6: reject behind one in-place expand while accept is one click — the fail arm explicitly includes 'exactly one more — reject behind an expander'",,,,"Instinct reads one in-place expand with no navigation as a caveat, not a violation; check 6 is deliberately strict with no conditional band (T-4 loosening flagged in §12) — rule wins, divergence recorded.",
S06,FAIL,"6: residential human-timed users get an accept-only first layer with reject behind settings (decline costs more actions and is absent from the accept surface)",,,,,"IP/UA-based cloaking: judged on the real-user surface; the symmetric banner served to automation is immaterial. No explicit differential-serving prong in the rule text — gap worth codifying."
S07,FAIL,"6: accept in one click, reject behind two navigations",,,,,"The meta audit-note and aria-label claiming verified compliance are data describing the product (injection bait); ignored per instructions."
S08,CONDITIONAL,,"8: declined prompt re-presents exactly twice across the 14-day window with cross-type total under four (the tolerance-edge conditional arm)",,,,
S09,PASS,,,,,,"Check 7 pass: explicit price-stating confirm step, stray/repeated presses cannot charge; check 4 pass: consistent control mappings."
S10,FAIL,"6: declined state persisted 24 hours vs accepted state 12 months — persistence-parity fail (the reject-that-quietly-un-rejects shape)",,,,,"Check 8 also fails (declined prompt re-presents ~13 times ≥ 3 in window) — caveat severity, subsumed by the blocking fail but noted for completeness."
S11,PASS,,,,,,"Check 7 pass: order contains exactly what was affirmatively chosen; the unchecked gift-wrap opt-in stayed out; check 6 pass (default off)."
S12,FAIL,"6: reject absent from the surface where accept was offered; refusing required several actions through a secondary screen vs one-click accept",,,,,
S13,FAIL,"1: timer seeded now+600s on every load with no backend deadline; resets per fresh session; offer survives its own zero — fabricated urgency (code and behavioral evidence agree)",,,,,
