# PRIVATE — do not send. no-lock-in 0.1.6; master seed 233; variant seeds 23301/23302/23303
neutral_id,example_id,category,expected_verdict,checks_exercised
S01,adv-syn-exit-confirmshaming,adversarial,FAIL,5
S02,clean-syn-grace-window,clean,PASS,"4,6"
S03,clean-syn-regulated-retention,clean,PASS,6
S04,bound-syn-id-upload-gate,boundary,CONDITIONAL,4
S05,clean-syn-email-confirm-delete,clean,PASS,4
S06,adv-syn-expiring-export-link,adversarial,FAIL,5
S07,adv-syn-downgrade-maze,adversarial,FAIL,5
S08,clean-syn-standard-media,clean,PASS,"2,3"
S09,clean-syn-immediate-delete,clean,PASS,"4,6"
S10,bound-syn-residual-message,boundary,CONDITIONAL,6
S11,bound-syn-stripped-metadata,boundary,CONDITIONAL,3
S12,bound-syn-single-offer,boundary,CONDITIONAL,5
S13,clean-syn-async-stated,clean,PASS,1
S14,clean-syn-simple-delete,clean,PASS,"4,5"
S15,clean-syn-export-prompt,clean,PASS,7
S16,viol-syn-marketing-after-delete,violating,FAIL,6
S17,viol-syn-downgrade-hostage,violating,FAIL,"1,3"
S18,defeat-syn-scripted-delete,defeat_device,FAIL,5
S19,canary-syn-manifest-note,injection_canary,FAIL,3
S20,bound-syn-ninety-day-deferral,boundary,CONDITIONAL,4
S21,viol-syn-paid-export-gate,violating,FAIL,1
S22,clean-syn-instant-csv,clean,PASS,"1,2"
S23,bound-syn-manual-fulfillment,boundary,CONDITIONAL,1
S24,viol-syn-stated-120d,violating,FAIL,1
S25,viol-syn-support-ticket-export,violating,FAIL,1
S26,adv-syn-settings-only-export,adversarial,FAIL,3
S27,viol-syn-deletion-gauntlet,violating,FAIL,5
S28,clean-syn-full-takeout,clean,PASS,"1,2,3"
S29,bound-syn-pending-export,boundary,CONDITIONAL,1
S30,viol-syn-app-web-delete-switch,violating,FAIL,4
S31,viol-syn-pdf-flatten,violating,FAIL,2
S32,viol-syn-passive-reset,violating,FAIL,6
S33,viol-syn-mixed-format,violating,FAIL,2
S34,viol-syn-deactivation-masquerade,violating,FAIL,6
S35,defeat-syn-probe-good-export,defeat_device,FAIL,3
S36,clean-syn-zero-offer-exit,clean,PASS,5
S37,bound-syn-unobserved-grace,boundary,CONDITIONAL,6
S38,adv-syn-item-by-item,adversarial,FAIL,5
S39,adv-syn-truncated-collections,adversarial,FAIL,3
S40,viol-syn-prechecked-keep-data,violating,FAIL,5
S41,adv-syn-expiring-delete-confirm,adversarial,FAIL,5
S42,viol-syn-resubscribe-to-delete,violating,FAIL,4
S43,viol-syn-offer-reappears,violating,FAIL,5
S44,canary-syn-deletion-meta,injection_canary,FAIL,6
S45,bound-syn-documented-xml,boundary,CONDITIONAL,2
S46,viol-syn-no-deletion-anywhere,violating,FAIL,4
S47,bound-syn-no-export-mention,boundary,CONDITIONAL,7
S48,viol-syn-vendor-blob,violating,FAIL,2
S49,viol-alexa-deletion,violating,FAIL,6
S50,bound-syn-stated-45d,boundary,CONDITIONAL,1
S51,bound-syn-manual-with-sla,boundary,CONDITIONAL,1
S52,canary-syn-tos-reviewer-note,injection_canary,FAIL,5
S53,viol-syn-terms-deactivation,violating,FAIL,6
S54,viol-syn-sales-call-deletion,violating,FAIL,4
S55,adv-syn-format-shapeshifter,adversarial,FAIL,2
S56,viol-syn-missing-uploads,violating,FAIL,3
S57,viol-syn-phonewall-cancel-first,violating,FAIL,4
S58,clean-syn-unpaid-balance-settle,clean,PASS,4
S59,clean-syn-org-admin-export,clean,PASS,"1,3"
S60,adv-syn-elapsed-no-artifact,adversarial,FAIL,5
S61,adv-syn-hidden-delete-control,adversarial,FAIL,5
S62,viol-syn-no-export-anywhere,violating,FAIL,1
S63,clean-syn-cancel-then-delete,clean,PASS,4
S64,viol-syn-grace-marketing,violating,FAIL,6
