scenario_id,verdict (PASS/CONDITIONAL/FAIL/INDETERMINATE),failing_blocking_checks (if FAIL),caveat_checks (if CONDITIONAL),driver (if INDETERMINATE),underdetermined (which check + missing facts),rule_vs_instinct_divergence,notes
S01,FAIL,choice-symmetry,,,,,"The reject state is persisted for 24 hours while the accept state is persisted for 12 months, which is a durability asymmetry violating choice-symmetry."
S02,FAIL,choice-symmetry,,,,,"Marketing cookies are optional but no reject control is offered, violating choice-symmetry."
S03,FAIL,choice-symmetry,,,,,"Declining requires an extra action to expand the options in place, violating choice-symmetry's strict parity requirement."
S04,PASS,,,,,,"Review aggregates and counts are honest, so check 2 passes. Other checks are not applicable."
S05,FAIL,no-fabricated-social-proof,,,,,"Recent purchase toasts are fabricated client-side from a hardcoded array, violating no-fabricated-social-proof."
S06,FAIL,no-unconsented-additions,,,,,"Shipping protection was silently added to the cart without affirmative choice, violating no-unconsented-additions."
S07,PASS,,,,,,"Explicit confirmation prevents accidental charges, and controls map consistently. Checks 4 and 7 pass."
S08,CONDITIONAL,,no-nagging-after-decline,,,,"Six total re-presentations across multiple declined prompt types exceeds the cross-type carousel limit of four, failing Check 8."
S09,CONDITIONAL,,choice-symmetry,,,,"The decline path never rendered due to variant-gating, making Check 6 unobserved and triggering a CONDITIONAL verdict."
S10,PASS,,,,,,"The decline option is neutrally worded and the body copy states specific, factual consequences, passing Check 3."
S11,FAIL,choice-symmetry,,,,,"Rejecting requires two navigations while accepting is one click, violating choice-symmetry."
S12,CONDITIONAL,,no-visual-interference,,,,"The decline link is legible but materially subordinated to the large accent button, triggering a conditional outcome under Check 5."
S13,FAIL,no-false-urgency-or-scarcity,,,,,"Offers were falsely presented as time-limited, and stock claims hid platform-wide availability, violating Check 1."
S14,FAIL,"no-trick-wording, no-unconsented-additions",,,,,"Inconsistent button mapping violates Check 4; single-press instant purchase from a loading state violates Check 7."
S15,FAIL,no-fabricated-social-proof,,,,,"Toasts are client-side generated from a static array despite footer claims, violating Check 2."
S16,FAIL,no-visual-interference,,,,,"Decline control is tiny, low-contrast, and placed outside the modal frame below the fold, violating Check 5."
S17,FAIL,no-false-urgency-or-scarcity,,,,,"A countdown for an immaterial free sticker is placed in the cart's price box to imply cart price urgency, violating Check 1."
S18,PASS,,,,,,"Both options are legible and presented as high-contrast buttons, representing ordinary CTA emphasis difference which passes Check 5."
S19,CONDITIONAL,,no-nagging-after-decline,,,,"A declined rating prompt re-presents twice within the same session, violating Check 8."
S20,PASS,,,,,,"Accept and reject options are perfectly symmetric and adjacent. Granular settings are optional. Check 6 passes."
S21,FAIL,no-trick-wording,,,,,"The toggle's label indicates limiting sharing but toggling it on actually enables sharing, representing reversed polarity under Check 4."
S22,FAIL,choice-symmetry,,,,,"The optional marketing consent is bundled into a mandatory Terms of Service checkbox, violating choice-symmetry."
S23,CONDITIONAL,,no-fabricated-social-proof,,,,"Real orders are replayed with false recency as 'just bought' toasts, triggering a conditional outcome under Check 2."
S24,FAIL,"no-trick-wording, choice-symmetry",,,,,"The double negative label violates Check 4; the pre-selected checkbox toward marketing acceptance violates Check 6."
S25,PASS,,,,,,"Notification decline is persisted and never re-asked over 30 days, passing Checks 6 and 8."
S26,FAIL,"no-visual-interference, no-unconsented-additions",,,,,"Highlighting the annual plan when monthly was tapped violates Check 5; charging the unselected annual plan violates Check 7."
S27,CONDITIONAL,,no-nagging-after-decline,,,,"Prompt type re-presents exactly twice across the observation window, which triggers a conditional outcome under Check 8."
S28,PASS,,,,,,"Stock count is real, consistent, and verified by API behavior, passing Check 1."
S29,PASS,,,,,,"The cart contains exactly what was chosen, and unchecked add-ons do not appear, passing Check 7."
S30,FAIL,choice-symmetry,,,,,"Residential sessions receive asymmetric first layers, violating choice-symmetry regardless of automated cloaked compliance."
S31,FAIL,no-false-urgency-or-scarcity,,,,,"The countdown timer is fabricated client-side with no backing campaign deadline, violating Check 1."
S32,CONDITIONAL,,no-false-urgency-or-scarcity,,,,"Equivalent sales are launched serially every morning, making permanent pricing look time-limited and triggering a conditional under Check 1."
S33,FAIL,no-false-urgency-or-scarcity,,,,,"Residential human sessions are shown a fabricated countdown that resets per session, violating Check 1."
S34,FAIL,no-confirmshaming,,,,,"The decline button features a weeping-face emoji and slumped mascot, representing shame-laden imagery violating Check 3."
S35,FAIL,no-false-urgency-or-scarcity,,,,,"Timer resets per session and the offer persists after reaching zero, violating Check 1."
S36,FAIL,no-fabricated-social-proof,,,,,"Fresh visitors receive an identical 'recent purchases' sequence on the same schedule, indicating fabrication violating Check 2."
S37,FAIL,no-visual-interference,,,,,"The decline button is occluded from pointer events by a fixed z-index overlay, violating Check 5's rule against concealment/occlusion."
S38,CONDITIONAL,,no-confirmshaming,,,,"Decline controls are neutral, but body copy uses emotive loss framing beyond factual consequences, triggering conditional for Check 3."
S39,FAIL,choice-symmetry,,,,,"Withdrawing consent requires seven actions compared to one action for giving consent, violating choice-symmetry."
S40,CONDITIONAL,,no-unconsented-additions,,,,"The carbon-offset contribution is bundled into the single 'Continue' action with no separate decline control, triggering conditional for Check 7."
S41,FAIL,no-fabricated-social-proof,,,,,"Withholding sub-4-star reviews while presenting the higher-rated remainder as the whole corpus is curated suppression violating Check 2."
S42,FAIL,choice-symmetry,,,,,"Rejecting requires multiple actions through settings and is absent from the first surface, violating choice-symmetry."
S43,PASS,,,,,,"Optional newsletter is unchecked by default and payment has clear controls and review, passing Checks 4, 6, and 7."
S44,PASS,,,,,,"Equally sized, legible buttons and factual copy with no loss framing pass Checks 3, 5, and 6."
